"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","aditional_info"
"Tales of the Wishing Eel","Artist John Wiltshre, will work with you to be creative as you get up close and personal with amazing specimens from the University of Cambridge’s collections at the Museum of Zoology and the Sedgwick Museum of Earth Sciences. You will create illustrations of your own fantastical bugs and curious creatures as well as discovering how we draw with geology.  Have an opportunity to create drawings of the amazing museums objects in a community sketch book which will be displayed at the Museum of Zoology, next to Darwin’s own drawings, in February.","Free",,24/10/09 10:00,24/10/09 12:00,TRUE,"Culture, Arts & Crafts","Class",,"Karen Thomas",,"01223 715475",,,"Faculty of English Drama Studio","Faculty of English","9 West Road",,"Cambridge",,"CB3 9DP",,TRUE,
"Teddy bears","A special food themed Wriggly Readers to celebrate this year's Family Learning Festival","Free",,27/10/09 10:00,27/10/09 10:30,TRUE,"Food and Cookery","Other",,"Market Harborough Library",,"0116 3053636",,,"Market Harborough Library","Adam and Eve Street",,,"Market Harborough",,"LE16 7LT",,TRUE,
"Teddy bears","A special food themed Wriggly Readers to celebrate this year's Family Learning Festival","Free",,29/10/09 10:00,29/10/09 10:30,TRUE,"Food and Cookery","Other",,"Market Harborough Library",,"0116 3053636",,,"Market Harborough Library","Adam and Eve Street",,,"Market Harborough",,"LE16 7LT",,TRUE,
"Teddy bears picnic","A special food themed Wriggly Readers to celebrate this year's Family Learning Festival","Free",,27/10/09 10:00,27/10/09 10:45,TRUE,"Food and Cookery","Other",,"Wigston Library",,"0116 305 3689",,,"Wigston Library","Bull Head Street",,,"Wigston",,"LE18 1PA",,TRUE,
"Teddy Bears picnic","A special food themed Wriggly Readers to celebrate this year's Family Learning Festival","Free",,21/10/09 11:00,21/10/09 11:45,TRUE,"Food and Cookery","Other",,"Earl Shilton Library",,"0116 305 8392",,,"Earl Shilton Library","Wood Street",,,"Earl Shilton",,"LE9 7NE",,TRUE,
"Teenage Writers Group","Contact library for further details.","Free",,28/10/09 17:15,28/10/09 18:45,TRUE,"Other","Other",,,,"01924 305376",,,"Drury Lane Library","Drury Lane",,,"Wakefield",,"WF1 2TD",,FALSE,
"Teenagers Writers Group","Contact library for more details.","Free",,21/10/09 17:15,21/10/09 18:45,TRUE,"Other","Other",,,,"01924 305376",,,"Drury Lane Library","Drury Lane",,,"Wakefield",,"WF1 2TD",,FALSE,
"The Big Draw - Drawin' Darwin: The Origins of Drawing","Create fantastic art using unusual and surprising ways of drawing in the galleries.  Can you make a skull look life like using tape, pencil or wire?  Come and join in the fun with out Drawin' Darwin Big Draw Event!","Free",,10/10/09 11:00,10/10/09 16:00,TRUE,"Culture, Arts & Crafts","Class",,"Ann Hall",,"01204 332 841",,,"Bolton Museum",,,,"Bolton",,"BL1 1SE",,FALSE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free",2,25/10/09 11:00,25/10/09 11:45,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free",2,25/10/09 12:30,25/10/09 13:15,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free",2,25/10/09 14:00,25/10/09 14:45,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free (Charge for adult Museum entry applies. Kids go free all year round)",2,26/10/09 11:00,26/10/09 11:45,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free (Charge for adult Museum entry applies. Kids go free all year round)",2,26/10/09 12:30,26/10/09 13:15,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: A day in the life of sailor town","Come and help us create a gigantic smelly model of a Victorian sailor town, to be exhibited in our Museum as part of the Big Draw at Docklands. This is a creative workshop for families. Suitable for children aged 2+.","Free (Charge for adult Museum entry applies. Kids go free all year round)",2,26/10/09 14:00,26/10/09 14:45,TRUE,"Heritage and History","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: Sailor's 1000 stories","Join us for a fun story and turn your favourite character into a puppet to take home with you!","Free (Charge for adult Museum entry applies. Kids go free all year round)",,25/10/09 12:00,25/10/09 13:00,TRUE,"Music and Performing Arts","Class",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw at Docklands: Sailor's 1000 stories","Join us for a fun story and turn your favourite character into a puppet to take home with you!","Free(Charge for adult Museum entry applies. Kids go free all year round)",,25/10/09 15:00,25/10/09 16:00,TRUE,"Music and Performing Arts","Class",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Big Draw Drop-in Session","Make your own Halloween picture in this free drop-in session, running from 1 - 4pm.","Free",,26/10/09 13:00,26/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,,,"01228 618718",,,"Tullie House Museum & Art Gallery","Castle Street",,,"Carlisle",,"CA3 8TP",,FALSE,"www.tulliehouse.co.uk"
"The Enchanted Palace - Big Draw event.","Kensington Palace is transforming! Stories are escaping from the bricks and mortar...come and help us imagine what our enchanted palace could look like. We are offering FREE graphic illustration workshops for all ages and the chance for you to draw your own characters to add to our Enchanted Palace mural.Activties are free for all the family and will take place on the lawn by the Golden Gates entrance.","Free",,10/10/09 11:00,10/10/09 17:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Jenny Wedgbury, Education Officer",,"0203 166 6626",,,"Kensington Palace ","Kensington Gardens",,,"Kensington and Chelsea",,"W8 4PX",,FALSE,"www.hrp.org.uk/kensingtonpalace"
"The Price of Sweetness","200 years ago Londoners, campaigning for the abolition of the slave trade, used sugar bowls to tell everyone about the evils of the slave trade. Join us for an interactive workshop of poetry and rap with BREIS, a rap artist from Student of Life Ltd, and decide what your sugar bowl should say.","Free",,24/10/09 12:30,24/10/09 13:30,TRUE,"Music and Performing Arts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Price of Sweetness","200 years ago Londoners, campaigning for the abolition of the slave trade, used sugar bowls to tell everyone about the evils of the slave trade. Join us for an interactive workshop of poetry and rap with BREIS, a rap artist from Student of Life Ltd, and decide what your sugar bowl should say.","Free",,24/10/09 14:30,24/10/09 15:30,TRUE,"Music and Performing Arts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Price of Sweetness","200 years ago Londoners, campaigning for the abolition of the slave trade, used sugar bowls to tell everyone about the evils of the slave trade. Join us for an interactive workshop of poetry and rap with BREIS, a rap artist from Student of Life Ltd, and decide what your sugar bowl should say.","Free(Charge for adult Museum entry applies. Kids go free all year round)",,27/10/09 12:30,27/10/09 13:30,TRUE,"Music and Performing Arts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"The Price of Sweetness","200 years ago Londoners, campaigning for the abolition of the slave trade, used sugar bowls to tell everyone about the evils of the slave trade. Join us for an interactive workshop of poetry and rap with BREIS, a rap artist from Student of Life Ltd, and decide what your sugar bowl should say.","Free(Charge for adult Museum entry applies. Kids go free all year round)",,27/10/09 14:30,27/10/09 15:30,TRUE,"Music and Performing Arts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
